"IPS決済番号","検索種別","店舗側オーダー番号","電話番号","メールアドレス","金額(税込)","送料","処理結果コード","決済結果"
"","","00000000400","","","10670","","","OK"
"","","00000001700","","","10670","","","NG"
"","","00000028500","","","10670","","","OK"
"","","00000029000","","","10670","","","OK"
"","","00000032100","","","10670","","","NG"
"","","00000041100","","","10670","","","OK"
"","","00000045100","","","10670","","","OK"
"","","00000051900","","","10670","","","OK"
"","","00000052200","","","10670","","","OK"
"","","00000053300","","","10670","","","NG"
"","","00000054000","","","10670","","","OK"
"","","00000062700","","","10670","","","OK"
"","","00000068100","","","10670","","","OK"
"","","00000078600","","","10670","","","OK"
"","","00000089700","","","10670","","","OK"
"","","00000093200","","","10670","","","NG"
"","","00000095700","","","10670","","","NG"
"","","00000129500","","","10670","","","OK"
"","","00000212800","","","10670","","","OK"
"","","00000342400","","","10670","","","OK"
"","","00000344700","","","10670","","","OK"
"","","00000351300","","","10670","","","OK"
"","","00000405700","","","10670","","","NG"
"","","00000451900","","","10670","","","OK"
"","","00000465100","","","10670","","","OK"
